品名,熱量 (大卡),蛋白質 (公克),飽和脂肪 (公克),碳水化合物 (公克),鈉 (毫克),class
多力多滋三角玉米片－超濃起司,522.0,8.0,13.0,64.0,669.0,0
品客洋芋片-原味,520.0,4.7,12.7,61.3,500.0,0
樂事九州岩燒海苔味洋芋片,564.0,7.2,17.5,55.0,585.0,0
奧利奧原味夾心餅乾,489.0,4.7,9.9,71.3,520.0,0
旺旺仙貝,477.0,4.2,8.8,74.8,778.0,0
旺仔小饅頭,381.0,2.9,0.4,90.2,61.0,0
奇多隨口脆岩燒海苔口味,584.0,4.6,20.2,54.7,539.0,0
樂天小熊餅-草莓,533.0,3.5,21.5,61.8,213.0,0
盛香珍夾心酥-花生,535.0,6.2,12.7,62.5,162.0,0
真魷味-紅燒口味,432.3,6.0,6.4,74.4,1133.0,0
多力多滋三角玉米片－黃金起司,521.0,8.1,13.5,62.5,739.0,0
麥香綠茶,38.0,0.0,0.0,9.5,14.0,1
美祿巧克力麥芽飲品減糖配方,70.0,2.2,1.3,10.3,35.0,1
貝納頌-曼特寧,58.0,1.7,1.4,8.1,49.0,1
立頓英式奶茶,36.9,0.5,0.4,6.9,17.3,1
飲冰室綠奶茶,56.9,0.2,1.7,10.2,12.0,1
明治乳酸糖-原味,395.0,1.2,2.3,91.89,49.5,2
KitKat,513.0,6.6,16.6,62.8,61.0,2
skittles彩虹糖混合水果口味,396.0,0.0,2.2,90.2,11.0,2
黑嘉麗糖果-黑莓子,355.0,0.0,0.0,88.8,92.0,2
森永牛奶糖,431.0,2.5,6.5,88.3,35.0,2
大雷神巧克力,536.0,7.6,17.1,59.0,522.0,2
義美葡萄巧克力,378.0,6.5,3.5,73.5,48.1,2
義美百吉葡萄QQ糖,328.0,7.7,0.2,73.8,3.0,2
陽光黃金豆豆漿,58.5,3.5,0.4,6.4,27.0,1
波蜜100%蔬果汁,43.0,0.0,0.0,10.8,25.0,1
JOE式抹茶拿鐵,48.6,2.1,0.3,8.7,37.0,1
金盃烏瓦厚奶茶,42.0,1.5,0.5,7.4,35.0,1
純喫茶-檸檬紅茶,35.0,0.0,0.0,8.8,7.0,1
統一肉燥麵,491.0,10.8,11.1,56.9,1830.0,3
蔥燒牛肉大乾麵,476.6,9.0,11.5,55.7,1954.0,3
味味一品紅燒牛肉麵,335.0,11.9,8.0,33.9,1198.0,3
台酒三杯雞麵,444.0,8.8,11.6,46.4,1252.0,3
台酒麻油雞麵,282.3,10.6,5.4,31.4,1143.0,3
喝的燕麥奶,43.6,1.3,0.2,7.9,14.0,1
台酒麵攤 椒蔥純釀烏醋,475.6,8.7,24.4,55.3,1346.0,3
一度讚 爌肉,335.7,11.0,8.6,30.4,1278.0,3
滿漢大餐麻辣鍋牛肉麵,320.0,6.9,7.2,37.9,1100.0,3
阿Q韓式泡菜口味,456.0,11.4,8.7,62.4,1954.0,3
來一客 牛肉蔬菜,468.0,10.9,10.2,57.5,2766.0,3
味丹 排骨雞麵,474.0,10.6,10.5,56.3,1936.0,3
維力炸醬麵,472.7,10.0,11.1,55.3,1831.0,3
雙響砲 機白湯麵,475.0,9.0,11.0,58.3,2080.0,3
大補帖 麻油雞細麵,468.0,8.3,10.7,50.2,2060.0,3
小時光麵館花椒擔擔麵,424.0,9.7,4.9,63.6,2060.0,3
活益比菲多綜合水果軟糖,277.0,4.9,0.0,64.6,49.0,2
明治Poifull綜合水果軟糖,366.0,4.6,0.6,85.2,16.5,2
飛壘Max Q軟糖-可樂,396.0,1.1,2.2,91.0,18.0,2
福利熊QQ水果軟糖,339.0,4.2,0.0,80.0,50.0,2
呦皮漢堡QQ軟糖,336.0,5.0,0.0,79.0,38.0,2
曼陀珠綜合水果口味,388.0,0.0,1.6,93.5,35.0,2
森永嗨啾軟糖綜合水果口味,428.0,1.8,8.4,85.7,5.0,2
泰國牛乳片,446.8,1.8,12.0,56.8,264.0,2
森永多樂福水果糖,398.0,0.0,0.0,99.4,0.0,2
明治黑可可,572.0,6.7,23.2,54.4,9.0,2
明治草莓夾餡可可,587.0,5.8,24.8,51.9,41.0,2
瑞士三角牛奶巧克力,523.0,5.4,17.5,60.0,60.0,2
森永嗨啾汽水軟糖,426.0,1.6,7.4,87.5,11.0,2
卜祥香烤特白棉花糖,334.0,3.8,0.0,77.9,73.0,2
sunkist rich濃郁蘋果活力果汁,56.0,0.1,0.0,14.0,16.0,1
台灣農林 琥珀決明紅茶,24.8,0.0,0.0,6.2,15.0,1
午後紅茶,16.0,0.0,0.0,4.0,5.0,1
可口奶滋原味,477.0,6.5,10.1,74.7,212.0,0
麥維他燕麥消化餅,484.6,7.4,8.8,68.3,300.0,0
旺旺小小酥輕辣口味,571.0,3.5,21.5,55.8,624.0,0
蔬菜餅乾-香蔥蘇打餅乾,519.6,9.9,11.8,60.6,318.0,0
卡滋爆米花 焦糖牛奶,534.0,2.0,13.0,67.0,134.0,0
福義軒紅麴薄餅,512.0,8.4,12.9,64.7,227.0,0
優龍ACE Pack原味營養餅乾,531.0,6.5,15.8,62.9,374.0,0
奇福餅乾,531.3,7.0,13.0,60.6,300.0,0
